,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
298,4,9,2,73.27,2.0934,3.3858,7.2032,10000
299,4,9,3,52.54,2.8587,3.2844,8.1029,10000
300,4,9,4,41.22,3.1985,3.2601,8.7068,10000
301,4,9,5,36.51,3.3098,3.3948,9.0799,10000
302,4,10,0,100.0,0.0,3.5641,5.3564,10000
303,4,10,1,93.09,1.1421,3.7569,6.8082,10000
304,4,10,2,68.73,2.274,3.6017,7.9051,10000
305,4,10,3,48.49,2.9692,3.4717,8.6248,10000
306,4,10,4,35.69,3.3235,3.3637,9.0885,10000
307,4,10,5,31.39,3.4196,3.4687,9.4932,10000
308,5,0,1,100.0,0.1735,0.8572,1.0351,10000
309,5,0,2,100.0,0.3681,0.999,1.2068,10000
310,5,0,3,99.75,0.6478,1.2638,1.6158,10000
311,5,0,4,98.66,1.0037,1.5916,2.1984,10000
312,5,0,5,95.92,1.4492,1.8492,2.8261,10000
313,5,1,0,100.0,0.0,0.8685,1.0322,10000
314,5,1,1,100.0,0.1977,0.9756,1.197,10000
315,5,1,2,99.92,0.4573,1.2897,1.5932,10000
316,5,1,3,99.2,0.8255,1.5845,2.1414,10000
317,5,1,4,97.34,1.2694,1.9243,2.7644,10000
318,5,1,5,93.44,1.7404,2.1452,3.4268,10000
319,5,2,0,100.0,0.0,1.009,1.2047,10000
320,5,2,1,100.0,0.2623,1.2755,1.5725,10000
321,5,2,2,99.84,0.6092,1.6357,2.0951,10000
322,5,2,3,98.11,1.0675,1.9251,2.6635,10000
323,5,2,4,95.13,1.5222,2.1838,3.2976,10000
324,5,2,5,89.98,2.0456,2.4093,4.074,10000
325,5,3,0,100.0,0.0,1.3047,1.561,10000
326,5,3,1,100.0,0.3311,1.6493,2.0416,10000
327,5,3,2,99.39,0.7809999999999999,1.9353,2.5718,10000
328,5,3,3,96.65,1.3124,2.2192,3.2119,10000
329,5,3,4,91.91,1.8661,2.4563,3.9459,10000
330,5,3,5,85.27,2.3761,2.6751,4.7559,10000
331,5,4,0,100.0,0.0,1.6869999999999998,2.0109,10000
332,5,4,1,99.99,0.4124,1.9797,2.4782,10000
333,5,4,2,98.8,0.949,2.2301,3.0553,10000
334,5,4,3,95.11,1.5326,2.5148,3.7623,10000
335,5,4,4,88.88000000000002,2.1331,2.7279,4.5978,10000
